subject_id,block_number,trial_in_block,block_type,global_trial,machine_left_id,machine_right_id,machine_left_EV,machine_right_EV,machine_left_novelty,machine_right_novelty,machine_left_exposure_count,machine_right_exposure_count,pair_type,choice_made,chosen_machine_id,RT,outcome,score_total
4,0,1,practice,1,trapez_paski_poziome_niebieski,trapez_paski_pionowe_zielony,0.8,0.2,1,1,0,0,standard,timeout,,,0,0
4,0,2,practice,2,trapez_paski_poziome_niebieski,trapez_paski_pionowe_zielony,0.8,0.2,1,1,1,1,standard,timeout,,,0,0
4,0,3,practice,3,trapez_paski_poziome_niebieski,trapez_paski_pionowe_zielony,0.8,0.2,1,1,2,2,standard,left,trapez_paski_poziome_niebieski,1710.0,1,0
4,0,4,practice,4,trapez_paski_poziome_niebieski,trapez_paski_pionowe_zielony,0.8,0.2,1,1,3,3,standard,right,trapez_paski_pionowe_zielony,361.0,0,0
